FID	IID	PL_BLUP
yangzhou_226_94	yangzhou_226_94	23.2
yangzhou_226_95	yangzhou_226_95	22.950000000000003
yangzhou_226_96	yangzhou_226_96	25.1
yangzhou_226_97	yangzhou_226_97	22.9
yangzhou_226_98	yangzhou_226_98	20.9
yangzhou_226_99	yangzhou_226_99	20.6
YCX333	YCX333	18.75
YCX334	YCX334	18.7
YCX335	YCX335	19.950000000000003
YCX336	YCX336	20.1
YCX337	YCX337	18.05
YCX338	YCX338	21.3
YCX339	YCX339	20.4
YCX340	YCX340	23.0
YCX341	YCX341	24.1
YCX342	YCX342	23.65
YCX343	YCX343	21.6
YCX344	YCX344	NA
YCX345	YCX345	21.55
YCX346	YCX346	19.95
YCX347	YCX347	20.8
YCX348	YCX348	20.55
YCX349	YCX349	22.55
YCX350	YCX350	18.3
YCX351	YCX351	24.25
YCX352	YCX352	18.2
YCX353	YCX353	18.15
YCX354	YCX354	21.9
YCX355	YCX355	21.05
YCX356	YCX356	20.5
YCX357	YCX357	19.6
YCX358	YCX358	21.25
YCX359	YCX359	21.75
YCX360	YCX360	23.6
YCX361	YCX361	22.9
YCX362	YCX362	23.05
YCX363	YCX363	22.35
YCX364	YCX364	21.700000000000003
YCX365	YCX365	23.55
YCX366	YCX366	25.200000000000003
YCX367	YCX367	23.55
YCX368	YCX368	19.65
YCX369	YCX369	18.450000000000003
YCX370	YCX370	23.5
YCX371	YCX371	23.65
YCX372	YCX372	18.35
YCX373	YCX373	25.55
YCX374	YCX374	21.0
YCX375	YCX375	27.950000000000003
YCX376	YCX376	22.4
YCX377	YCX377	23.2
YCX378	YCX378	19.4
YCX379	YCX379	22.05
YCX380	YCX380	24.3
YCX381	YCX381	22.9
YCX382	YCX382	23.7
YCX383	YCX383	21.95
YCX384	YCX384	24.0
YCX385	YCX385	23.25
YCX386	YCX386	22.1
YCX387	YCX387	20.15
YCX388	YCX388	23.200000000000003
YCX389	YCX389	26.15
YCX390	YCX390	23.450000000000003
YCX391	YCX391	22.6
YCX392	YCX392	20.15
YCX393	YCX393	20.65
YD12	YD12	18.4
