FID	IID	FGP_WenJ15
yangzhou_226_21	yangzhou_226_21	110.7
yangzhou_226_212	yangzhou_226_212	55.3
yangzhou_226_213	yangzhou_226_213	88.2
yangzhou_226_214	yangzhou_226_214	101.2
yangzhou_226_215	yangzhou_226_215	89.3
yangzhou_226_216	yangzhou_226_216	106.2
yangzhou_226_217	yangzhou_226_217	173.8
yangzhou_226_218	yangzhou_226_218	117.6
yangzhou_226_219	yangzhou_226_219	108.3
yangzhou_226_2	yangzhou_226_2	110.0
yangzhou_226_220	yangzhou_226_220	90.4
yangzhou_226_221	yangzhou_226_221	93.7
yangzhou_226_22	yangzhou_226_22	91.7
yangzhou_226_222	yangzhou_226_222	101.3
yangzhou_226_223	yangzhou_226_223	118.9
yangzhou_226_224	yangzhou_226_224	141.1
yangzhou_226_225	yangzhou_226_225	125.6
yangzhou_226_226	yangzhou_226_226	111.1
yangzhou_226_23	yangzhou_226_23	131.8
yangzhou_226_24	yangzhou_226_24	110.4
yangzhou_226_25	yangzhou_226_25	131.6
yangzhou_226_26	yangzhou_226_26	134.5
yangzhou_226_27	yangzhou_226_27	95.8
yangzhou_226_28	yangzhou_226_28	123.0
yangzhou_226_29	yangzhou_226_29	125.1
yangzhou_226_30	yangzhou_226_30	85.3
yangzhou_226_31	yangzhou_226_31	120.4
yangzhou_226_3	yangzhou_226_3	118.6
yangzhou_226_32	yangzhou_226_32	97.0
yangzhou_226_33	yangzhou_226_33	128.7
yangzhou_226_34	yangzhou_226_34	105.7
yangzhou_226_35	yangzhou_226_35	129.3
yangzhou_226_36	yangzhou_226_36	153.6
yangzhou_226_37	yangzhou_226_37	17.1
yangzhou_226_38	yangzhou_226_38	10.5
yangzhou_226_39	yangzhou_226_39	NA
yangzhou_226_40	yangzhou_226_40	138.1
yangzhou_226_41	yangzhou_226_41	35.1
yangzhou_226_4	yangzhou_226_4	91.3
yangzhou_226_42	yangzhou_226_42	7.4
yangzhou_226_43	yangzhou_226_43	85.2
yangzhou_226_44	yangzhou_226_44	NA
yangzhou_226_45	yangzhou_226_45	50.8
yangzhou_226_46	yangzhou_226_46	82.0
yangzhou_226_47	yangzhou_226_47	NA
yangzhou_226_48	yangzhou_226_48	9.3
yangzhou_226_49	yangzhou_226_49	9.8
yangzhou_226_50	yangzhou_226_50	6.2
yangzhou_226_51	yangzhou_226_51	NA
yangzhou_226_5	yangzhou_226_5	128.6
yangzhou_226_53	yangzhou_226_53	NA
yangzhou_226_54	yangzhou_226_54	172.5
yangzhou_226_55	yangzhou_226_55	106.3
yangzhou_226_56	yangzhou_226_56	132.4
yangzhou_226_57	yangzhou_226_57	99.5
yangzhou_226_58	yangzhou_226_58	104.0
yangzhou_226_59	yangzhou_226_59	59.6
yangzhou_226_60	yangzhou_226_60	115.5
yangzhou_226_61	yangzhou_226_61	96.0
yangzhou_226_6	yangzhou_226_6	118.2
yangzhou_226_62	yangzhou_226_62	82.2
yangzhou_226_63	yangzhou_226_63	115.0
yangzhou_226_64	yangzhou_226_64	119.5
yangzhou_226_65	yangzhou_226_65	111.9
yangzhou_226_66	yangzhou_226_66	113.4
yangzhou_226_67	yangzhou_226_67	238.1
yangzhou_226_68	yangzhou_226_68	78.5
yangzhou_226_69	yangzhou_226_69	133.9
yangzhou_226_70	yangzhou_226_70	123.1
yangzhou_226_71	yangzhou_226_71	137.4
yangzhou_226_7	yangzhou_226_7	117.9
yangzhou_226_72	yangzhou_226_72	138.8
yangzhou_226_73	yangzhou_226_73	161.9
yangzhou_226_74	yangzhou_226_74	81.1
yangzhou_226_75	yangzhou_226_75	138.8
yangzhou_226_76	yangzhou_226_76	136.3
yangzhou_226_77	yangzhou_226_77	107.0
yangzhou_226_78	yangzhou_226_78	81.7
yangzhou_226_79	yangzhou_226_79	173.9
yangzhou_226_80	yangzhou_226_80	137.2
yangzhou_226_81	yangzhou_226_81	120.4
yangzhou_226_8	yangzhou_226_8	128.0
yangzhou_226_82	yangzhou_226_82	95.9
yangzhou_226_83	yangzhou_226_83	NA
