FID	IID	BGWP_YangZ15
yangzhou_226_30	yangzhou_226_30	0.63
yangzhou_226_31	yangzhou_226_31	1.36
yangzhou_226_3	yangzhou_226_3	1.44
yangzhou_226_32	yangzhou_226_32	0.37
yangzhou_226_33	yangzhou_226_33	0.33
yangzhou_226_34	yangzhou_226_34	NA
yangzhou_226_35	yangzhou_226_35	0.7
yangzhou_226_36	yangzhou_226_36	2.14
yangzhou_226_37	yangzhou_226_37	NA
yangzhou_226_38	yangzhou_226_38	NA
yangzhou_226_39	yangzhou_226_39	NA
yangzhou_226_40	yangzhou_226_40	NA
yangzhou_226_41	yangzhou_226_41	NA
yangzhou_226_4	yangzhou_226_4	0.59
yangzhou_226_42	yangzhou_226_42	NA
yangzhou_226_43	yangzhou_226_43	NA
yangzhou_226_44	yangzhou_226_44	NA
yangzhou_226_45	yangzhou_226_45	NA
yangzhou_226_46	yangzhou_226_46	NA
yangzhou_226_47	yangzhou_226_47	NA
yangzhou_226_48	yangzhou_226_48	NA
yangzhou_226_49	yangzhou_226_49	NA
yangzhou_226_50	yangzhou_226_50	NA
yangzhou_226_51	yangzhou_226_51	NA
yangzhou_226_5	yangzhou_226_5	1.3
yangzhou_226_53	yangzhou_226_53	NA
yangzhou_226_54	yangzhou_226_54	0.74
yangzhou_226_55	yangzhou_226_55	0.93
yangzhou_226_56	yangzhou_226_56	0.81
yangzhou_226_57	yangzhou_226_57	0.95
yangzhou_226_58	yangzhou_226_58	0.78
yangzhou_226_59	yangzhou_226_59	1.68
yangzhou_226_60	yangzhou_226_60	0.81
yangzhou_226_61	yangzhou_226_61	1.21
yangzhou_226_6	yangzhou_226_6	0.73
yangzhou_226_62	yangzhou_226_62	0.63
yangzhou_226_63	yangzhou_226_63	0.99
yangzhou_226_64	yangzhou_226_64	0.85
yangzhou_226_65	yangzhou_226_65	0.38
yangzhou_226_66	yangzhou_226_66	0.6
yangzhou_226_67	yangzhou_226_67	1.74
yangzhou_226_68	yangzhou_226_68	1.6
yangzhou_226_69	yangzhou_226_69	0.89
yangzhou_226_70	yangzhou_226_70	0.5
yangzhou_226_71	yangzhou_226_71	0.83
yangzhou_226_7	yangzhou_226_7	1.59
yangzhou_226_72	yangzhou_226_72	0.66
yangzhou_226_73	yangzhou_226_73	1.15
yangzhou_226_74	yangzhou_226_74	1.26
yangzhou_226_75	yangzhou_226_75	0.75
yangzhou_226_76	yangzhou_226_76	0.75
yangzhou_226_77	yangzhou_226_77	1.25
yangzhou_226_78	yangzhou_226_78	1.7
yangzhou_226_79	yangzhou_226_79	0.36
yangzhou_226_80	yangzhou_226_80	1.64
yangzhou_226_81	yangzhou_226_81	1.18
yangzhou_226_8	yangzhou_226_8	1.99
yangzhou_226_82	yangzhou_226_82	0.96
yangzhou_226_83	yangzhou_226_83	2.1
yangzhou_226_84	yangzhou_226_84	0.61
yangzhou_226_85	yangzhou_226_85	1.37
yangzhou_226_86	yangzhou_226_86	0.25
yangzhou_226_87	yangzhou_226_87	1.56
yangzhou_226_88	yangzhou_226_88	1.84
yangzhou_226_89	yangzhou_226_89	0.39
yangzhou_226_90	yangzhou_226_90	0.78
yangzhou_226_91	yangzhou_226_91	1.82
yangzhou_226_9	yangzhou_226_9	0.78
yangzhou_226_92	yangzhou_226_92	0.69
yangzhou_226_93	yangzhou_226_93	0.96
yangzhou_226_94	yangzhou_226_94	0.78
yangzhou_226_95	yangzhou_226_95	1.2
yangzhou_226_96	yangzhou_226_96	1.34
yangzhou_226_97	yangzhou_226_97	0.65
yangzhou_226_98	yangzhou_226_98	1.02
yangzhou_226_99	yangzhou_226_99	0.85
YCX333	YCX333	0.63
YCX334	YCX334	1.87
YCX335	YCX335	2.02
YCX336	YCX336	NA
YCX337	YCX337	0.54
YCX338	YCX338	0.44
YCX339	YCX339	0.98
YCX340	YCX340	1.23
YCX341	YCX341	0.27
YCX342	YCX342	0.37
YCX343	YCX343	1.32
YCX344	YCX344	NA
YCX345	YCX345	2.1
YCX346	YCX346	3.2
YCX347	YCX347	NA
YCX348	YCX348	NA
YCX349	YCX349	NA
YCX350	YCX350	0.56
YCX351	YCX351	NA
YCX352	YCX352	1.26
YCX353	YCX353	2.47
YCX354	YCX354	0.75
YCX355	YCX355	1.0
YCX356	YCX356	1.0
YCX357	YCX357	1.03
YCX358	YCX358	0.67
YCX359	YCX359	1.63
YCX360	YCX360	1.12
YCX361	YCX361	1.03
YCX362	YCX362	0.91
YCX363	YCX363	0.56
YCX364	YCX364	NA
YCX365	YCX365	0.87
YCX366	YCX366	0.76
YCX367	YCX367	2.67
YCX368	YCX368	0.96
YCX369	YCX369	1.01
YCX370	YCX370	2.64
YCX371	YCX371	2.27
YCX372	YCX372	0.59
YCX373	YCX373	0.83
YCX374	YCX374	2.05
YCX375	YCX375	1.43
YCX376	YCX376	1.4
YCX377	YCX377	1.14
YCX378	YCX378	1.19
YCX379	YCX379	NA
YCX380	YCX380	0.99
YCX381	YCX381	0.71
YCX382	YCX382	1.9
YCX383	YCX383	1.49
YCX384	YCX384	NA
YCX385	YCX385	0.53
YCX386	YCX386	0.47
YCX387	YCX387	0.8
YCX388	YCX388	0.78
YCX389	YCX389	0.76
YCX390	YCX390	NA
YCX391	YCX391	0.5
YCX392	YCX392	0.34
YCX393	YCX393	0.95
YD12	YD12	0.57
